word,homestuck_prop,unigram_prop,ratio,homestuck_count,unigram_count
kanaya,0.0012901284,3.3674859e-08,38311.3,1089,19805
aranea,0.001104132,6.4329947e-08,17163.6,932,37834
aradia,0.00033526754,5.6340138e-08,5950.78,283,33135
nepeta,0.00022509128,5.6499969e-08,3983.92,190,33229
fcg,0.00044070503,1.2038443e-07,3660.81,372,70801
glub,0.00014216291,4.4873173e-08,3168.1,120,26391
damara,0.0001433476,4.528125e-08,3165.72,121,26631
eing,0.00010543749,4.4097827e-08,2390.99,89,25935
calliope,0.00083283774,3.8701518e-07,2151.95,703,227613
wwith,4.8572329e-05,2.5180055e-08,1929,41,14809
cronus,0.00018007302,1.128044e-07,1596.33,152,66343
ecause,0.00011846909,7.779479e-08,1522.84,100,45753
ilities,3.4356038e-05,2.3010445e-08,1493.06,29,13533
haa,0.00046321416,3.4595072e-07,1338.96,391,203462
shoosh,4.975702e-05,4.0069766e-08,1241.76,42,23566
pestering,0.00017888833,1.47241e-07,1214.94,151,86596
jeering,9.951404e-05,8.5019454e-08,1170.49,84,50002
efore,7.8189603e-05,7.04341e-08,1110.11,66,41424
shouty,2.3693819e-05,2.2479945e-08,1054,20,13221
egin,2.6063201e-05,2.4947111e-08,1044.74,22,14672
cannot,0.00015519451,1.5088139e-07,1028.59,131,88737
hoooo,4.2648874e-05,4.4106328e-08,966.956,36,25940
hahahahahahahaha,3.3171347e-05,3.5177942e-08,942.959,28,20689
uld,0.0001172844,1.323751e-07,886.001,99,77853
motherfuckin,0.00011609971,1.3540337e-07,857.436,98,79634
augh,4.8572329e-05,5.9691471e-08,813.723,41,35106
tg,0.0069221492,8.5240394e-06,812.074,5843,5013194
remem,9.0036512e-05,1.1130302e-07,808.931,76,65460
lly,0.00021442906,2.6706433e-07,802.912,181,157067
howw,1.7770364e-05,2.3421923e-08,758.706,15,13775
roxy,0.0025470855,3.4450256e-06,739.352,2150,2026103
tinyurl,4.6202947e-05,6.3517194e-08,727.409,39,37356
rry,4.2648874e-05,6.2767352e-08,679.475,36,36915
nanna,0.0001315007,1.9705361e-07,667.335,111,115892
thout,1.7770364e-05,2.843787e-08,624.884,15,16725
incredi,2.0139746e-05,3.2362211e-08,622.323,17,19033
lood,3.0801965e-05,5.0360109e-08,611.634,26,29618
stup,2.7247892e-05,4.5694428e-08,596.307,23,26874
wiith,2.9617274e-05,5.1220472e-08,578.231,25,30124
ility,5.3311093e-05,9.2579081e-08,575.844,45,54448
etween,3.1986656e-05,5.6343539e-08,567.708,27,33137
hiit,2.6063201e-05,4.6090603e-08,565.478,22,27107
ght,0.00014571699,2.578928e-07,565.029,123,151673
horseshit,3.791011e-05,6.7922726e-08,558.136,32,39947
mspaint,1.8955055e-05,3.4416199e-08,550.76,16,20241
pyrope,2.1324437e-05,3.8862538e-08,548.714,18,22856
shittiest,1.4216291e-05,2.7298655e-08,520.769,12,16055
rson,1.1846909e-05,2.3233187e-08,509.913,10,13664
unbanned,2.1324437e-05,4.2518229e-08,501.536,18,25006
ultim,1.4216291e-05,2.8924162e-08,491.502,12,17011
someth,1.1846909e-05,2.4244878e-08,488.636,10,14259
prototyped,6.3973311e-05,1.3092472e-07,488.627,54,77000
uu,0.00321999,6.6310753e-06,485.591,2718,3899896
twinkly,1.30316e-05,2.7138825e-08,480.183,11,15961
denizen,7.1081457e-05,1.4927969e-07,476.163,60,87795
honk,0.00023693819,5.0766996e-07,466.717,200,298573
pyxis,3.4356038e-05,7.4123796e-08,463.495,29,43594
ody,6.278862e-05,1.3869689e-07,452.704,53,81571
descri,1.1846909e-05,2.6232553e-08,451.611,10,15428
abscond,2.3693819e-05,5.4128021e-08,437.737,20,31834
gg,0.0041085082,9.7042815e-06,423.371,3468,5707323
achoo,2.3693819e-05,5.6411552e-08,420.017,20,33177
tely,1.4216291e-05,3.4195157e-08,415.74,12,20111
eb,0.0031572014,7.9582728e-06,396.719,2665,4680453
dirk,0.0013635793,3.4788348e-06,391.964,1151,2045987
mspa,1.5400982e-05,3.9386237e-08,391.024,13,23164
grody,9.4775276e-06,2.4562838e-08,385.848,8,14446
pester,7.8189603e-05,2.0273778e-07,385.669,66,119235
loods,1.5400982e-05,4.003746e-08,384.664,13,23547
pshh,8.2928366e-06,2.2626172e-08,366.515,7,13307
uddy,8.2928366e-06,2.2835312e-08,363.158,7,13430
wway,1.4216291e-05,3.9325026e-08,361.507,12,23128
ahahahaha,8.2928366e-06,2.309206e-08,359.121,7,13581
orry,9.4775276e-06,2.6407686e-08,358.893,8,15531
lilypad,1.0662219e-05,3.0847225e-08,345.646,9,18142
doof,2.8432583e-05,8.3242618e-08,341.563,24,48957
juggalo,3.5540728e-05,1.0633808e-07,334.224,30,62540
kittycat,8.2928366e-06,2.5169853e-08,329.475,7,14803
oring,3.5540728e-05,1.0820673e-07,328.452,30,63639
jade,0.0028823531,8.9652064e-06,321.504,2433,5272655
discussi,8.2928366e-06,2.6188345e-08,316.661,7,15402
becau,1.0662219e-05,3.3705464e-08,316.335,9,19823
rought,8.2928366e-06,2.6234254e-08,316.107,7,15429
gcat,1.8955055e-05,6.1915491e-08,306.144,16,36414
wasd,1.4216291e-05,4.6682315e-08,304.533,12,27455
tuckered,8.2928366e-06,2.727315e-08,304.066,7,16040
ttle,7.1081457e-06,2.4936909e-08,285.045,6,14666
jaspers,5.6865166e-05,2.0102556e-07,282.875,48,118228
bernies,8.2928366e-06,2.9342441e-08,282.623,7,17257
batshit,1.30316e-05,4.6172219e-08,282.239,11,27155
flappy,1.0662219e-05,3.7832144e-08,281.83,9,22250
heheheh,2.9617274e-05,1.0603712e-07,279.31,25,62363
cornball,8.2928366e-06,2.9784524e-08,278.428,7,17517
tt,0.0054258845,1.9707809e-05,275.316,4580,11590640
droog,1.6585673e-05,6.1031324e-08,271.757,14,35894
peixes,2.0139746e-05,7.4553978e-08,270.136,17,43847
iing,7.1081457e-06,2.6414488e-08,269.1,6,15535
ryon,1.5400982e-05,5.7877229e-08,266.097,13,34039
youre,0.0006148546,2.3131117e-06,265.813,519,1360397
consorts,2.2509128e-05,8.499735e-08,264.822,19,49989
ccg,0.00061603929,2.372696e-06,259.637,520,1395440
surd,5.9234547e-06,2.3537544e-08,251.66,5,13843
mirthful,1.30316e-05,5.2526318e-08,248.097,11,30892
wigglers,1.5400982e-05,6.2340572e-08,247.046,13,36664
echidna,4.0279492e-05,1.673507e-07,240.689,34,98423
snt,4.8572329e-05,2.1431017e-07,226.645,41,126041
juju,9.8329349e-05,4.3491832e-07,226.087,83,255786
wond,1.0662219e-05,4.7353942e-08,225.16,9,27850
reath,5.9234547e-06,2.637198e-08,224.612,5,15510
apeshit,8.2928366e-06,3.7063599e-08,223.746,7,21798
nitram,1.30316e-05,5.936501e-08,219.517,11,34914
spons,9.4775276e-06,4.3830876e-08,216.229,8,25778
infuriatingly,7.1081457e-06,3.2945421e-08,215.755,6,19376
convers,1.1846909e-05,5.5292741e-08,214.258,10,32519
gaper,1.0662219e-05,5.0246188e-08,212.2,9,29551
actly,9.4775276e-06,4.5390071e-08,208.802,8,26695
heheheheh,4.7387638e-06,2.2751996e-08,208.279,4,13381
boxcars,2.0139746e-05,9.681118e-08,208.031,17,56937
jape,1.0662219e-05,5.1691461e-08,206.267,9,30401
trolling,0.00029261866,1.4232605e-06,205.597,247,837054
cg,0.0024783735,1.2103077e-05,204.772,2092,7118113
offed,7.1081457e-06,3.5018112e-08,202.985,6,20595
itll,2.9617274e-05,1.4604058e-07,202.802,25,85890
confus,5.9234547e-06,2.9242122e-08,202.566,5,17198
sessi,8.2928366e-06,4.1438525e-08,200.124,7,24371
iidea,4.7387638e-06,2.3960924e-08,197.77,4,14092
alance,4.7387638e-06,2.4028937e-08,197.211,4,14132
mantic,8.2928366e-06,4.2351597e-08,195.809,7,24908
thatll,4.7387638e-06,2.4248279e-08,195.427,4,14261
whop,7.1081457e-06,3.6505893e-08,194.712,6,21470
appreci,8.2928366e-06,4.263045e-08,194.528,7,25072
slimer,7.1081457e-06,3.7306744e-08,190.532,6,21941
sylph,1.4216291e-05,7.5018165e-08,189.505,12,44120
nintendos,4.7387638e-06,2.515625e-08,188.373,4,14795
torsos,1.8955055e-05,1.0142075e-07,186.895,16,59648
meddlesome,1.0662219e-05,5.7338227e-08,185.953,9,33722
anyo,4.7387638e-06,2.5725858e-08,184.202,4,15130
ribbit,1.7770364e-05,9.7151245e-08,182.914,15,57137
gallivanting,4.7387638e-06,2.6093127e-08,181.61,4,15346
noth,4.2648874e-05,2.4014315e-07,177.598,36,141234
ndy,1.1846909e-05,6.6713797e-08,177.578,10,39236
grist,0.00015637921,8.8408874e-07,176.882,132,519954
glowy,4.7387638e-06,2.6853171e-08,176.469,4,15793
shitty,0.00021679844,1.2415557e-06,174.618,183,730189
viously,2.1324437e-05,1.2281419e-07,173.632,18,72230
spirograph,5.9234547e-06,3.4125444e-08,173.579,5,20070
hoo,0.00039450209,2.2796375e-06,173.055,333,1340710
ceb,6.0419238e-05,3.511367e-07,172.068,51,206512
fuckup,4.7387638e-06,2.7684628e-08,171.169,4,16282
wii,9.4775276e-06,5.5428766e-08,170.986,8,32599
gc,0.0025423468,1.4918558e-05,170.415,2146,8773965
oug,7.1081457e-06,4.1962224e-08,169.394,6,24679
godhood,1.0662219e-05,6.3183931e-08,168.749,9,37160
vwe,4.7387638e-06,2.8189623e-08,168.103,4,16579
howd,8.2928366e-06,5.0052351e-08,165.683,7,29437
goddamn,0.00016230266,9.8169227e-07,165.329,137,577357
mindfuck,3.5540728e-06,2.1622983e-08,164.366,3,12717
sopor,4.7387638e-06,2.8871452e-08,164.133,4,16980
fatherly,2.7247892e-05,1.6711606e-07,163.048,23,98285
douchebags,4.7387638e-06,2.9089093e-08,162.905,4,17108
shitstorm,3.5540728e-06,2.1905236e-08,162.248,3,12883
vacantly,7.1081457e-06,4.4075723e-08,161.271,6,25922
wledge,3.5540728e-06,2.2100773e-08,160.812,3,12998
tiptoeing,5.9234547e-06,3.6839156e-08,160.792,5,21666
rumpled,1.8955055e-05,1.181162e-07,160.478,16,69467
fiind,3.5540728e-06,2.22402e-08,159.804,3,13080
henges,4.7387638e-06,2.9777723e-08,159.138,4,17513
occurr,3.5540728e-06,2.2391528e-08,158.724,3,13169
heheh,4.8572329e-05,3.06085e-07,158.689,41,180016
salamander,0.00016348735,1.031022e-06,158.568,138,606369
explan,3.5540728e-06,2.2440837e-08,158.375,3,13198
circumstantially,3.5540728e-06,2.2447639e-08,158.327,3,13202
yessss,1.0662219e-05,6.7370121e-08,158.263,9,39622
enefit,3.5540728e-06,2.2512251e-08,157.873,3,13240
impossi,7.1081457e-06,4.5162228e-08,157.391,6,26561
nly,3.3171347e-05,2.1214396e-07,156.362,28,124767
scrums,5.9234547e-06,3.7949466e-08,156.088,5,22319
chumps,2.0139746e-05,1.2915129e-07,155.939,17,75957
dignitary,1.7770364e-05,1.143772e-07,155.366,15,67268
usy,1.4216291e-05,9.1660908e-08,155.097,12,53908
bonk,5.3311093e-05,3.4842299e-07,153.007,45,204916
egbert,5.5680475e-05,3.6401494e-07,152.962,47,214086
adass,3.5540728e-06,2.32995e-08,152.539,3,13703
grl,4.2648874e-05,2.8222099e-07,151.119,36,165981
vaudevillian,4.7387638e-06,3.1637874e-08,149.781,4,18607
somet,7.1081457e-06,4.7527374e-08,149.559,6,27952
rty,1.4216291e-05,9.5292794e-08,149.185,12,56044
vacillation,7.1081457e-06,4.7831732e-08,148.607,6,28131
getup,5.9234547e-06,3.9925239e-08,148.364,5,23481
fgc,3.0801965e-05,2.0795097e-07,148.121,26,122301
meddler,5.9234547e-06,4.0034059e-08,147.96,5,23545
motherfucking,2.487851e-05,1.6815835e-07,147.947,21,98898
exhi,3.5540728e-06,2.4076546e-08,147.616,3,14160
coupl,4.7387638e-06,3.2556047e-08,145.557,4,19147
ganked,3.5540728e-06,2.4525431e-08,144.914,3,14424
whatev,3.5540728e-06,2.4528832e-08,144.894,3,14426
applejuice,4.7387638e-06,3.2741382e-08,144.733,4,19256
enj,7.1081457e-06,4.9282106e-08,144.234,6,28984
drub,3.5540728e-06,2.4669958e-08,144.065,3,14509
nough,1.0662219e-05,7.4234317e-08,143.629,9,43659
nubby,1.0662219e-05,7.4892342e-08,142.367,9,44046
suckas,7.1081457e-06,4.9974136e-08,142.236,6,29391
leist,5.9234547e-06,4.1744582e-08,141.898,5,24551
nyon,1.4216291e-05,1.0054849e-07,141.387,12,59135
llow,5.9234547e-06,4.2052341e-08,140.859,5,24732
purpos,3.5540728e-06,2.5319481e-08,140.369,3,14891
crowbar,5.9234547e-05,4.2353297e-07,139.858,50,249090
